Plot,Tag,StemTag,Quadrat,GenusSpecies,QX,QY,PX,PY,DBH_Cen2017,DBH_Cen2022,Codes,HOM,ExactDate,tag_stem,tag_stem_Q
MST,393038,1,3918,Mastixia pentandra,18.5,11.32,478.5,351.32,7.2,6.4,IC,1.3,18/4/2022,393038_1,393038_1_3918
MST,40111,1,4009,Ficus vasculosa,1.1,12.6,481.1,172.6,30.7,35.4,NA,1.3,2/5/2022,40111_1,40111_1_4009
MST,413563,1,4120,Gironniera nervosa,13.97,10.65,513.97,390.65,14.2,16.3,XAB,1.3,1/6/2022,413563_1,413563_1_4120
MST,424259,1,4201,Aquilaria crassna,14.57,1.47,534.57,1.47,5.2,6.4,NA,1.3,5/6/2022,424259_1,424259_1_4201
MST,425483,1,4205,Nephelium melliferum,5.95,3.75,525.95,83.75,7,8.9,S,1.3,8/6/2022,425483_1,425483_1_4205
MST,432069,1,4311,Baccaurea ramiflora,18.18,1.77,558.18,201.77,5.5,6.3,NA,1.3,29/6/2022,432069_1,432069_1_4311
MST,444988,1,4412,Cinnamomum subavenium,4.11,7.08,564.11,227.08,5.3,7.9,NA,1.3,19/7/2022,444988_1,444988_1_4412
MST,451392,1,4508,Mischocarpus pentapetalus,7.23,12.7,587.23,152.7,5.9,NA,NA,1.3,14/8/2022,451392_1,451392_1_4508
MST,451394,1,4508,Alchornea rugosa,8.05,13.82,588.05,153.82,6.6,6.4,NA,1.3,14/8/2022,451394_1,451394_1_4508
MST,451394,2,4508,Alchornea rugosa,8.05,13.82,588.05,153.82,6.8,7.6,NA,1.3,14/8/2022,451394_2,451394_2_4508
MST,451396,1,4508,Mastixia pentandra,6.53,14.38,586.53,154.38,6.8,6.7,NA,1.3,14/8/2022,451396_1,451396_1_4508
SES5,SES5_342491,1,3426,Pterospermum cinnamomeum,0.11,1.49,20.11,1.49,12.2,12.3,M,1.3,9/9/2022,SES5_342491_1,SES5_342491_1_3426
